graph_file,algorithm,initializer,num_colors,colors_used,conflicts,valid_solution,best_fitness
gc_50_9.txt,dsatur,,,24,2,False,
gc_50_9.txt,greedy,,,26,2,False,
gc_50_9.txt,genetic_algorithm,random,24,24,20,False,1024
gc_50_9.txt,genetic_algorithm,dsatur,24,24,2,False,124
gc_50_9.txt,genetic_algorithm,greedy,24,24,6,False,324
gc_50_9.txt,genetic_algorithm,mixed,24,24,2,False,124
gc_50_9.txt,genetic_algorithm,random,25,25,17,False,875
gc_50_9.txt,genetic_algorithm,dsatur,25,24,2,False,124
gc_50_9.txt,genetic_algorithm,greedy,25,25,3,False,175
gc_50_9.txt,genetic_algorithm,mixed,25,24,2,False,124
gc_50_9.txt,genetic_algorithm,random,26,26,17,False,876
gc_50_9.txt,genetic_algorithm,dsatur,26,24,1,False,74
gc_50_9.txt,genetic_algorithm,greedy,26,25,2,False,125
gc_50_9.txt,genetic_algorithm,mixed,26,24,2,False,124
gc_50_9.txt,genetic_algorithm,random,27,27,15,False,777
gc_50_9.txt,genetic_algorithm,dsatur,27,24,2,False,124
gc_50_9.txt,genetic_algorithm,greedy,27,26,2,False,126
gc_50_9.txt,genetic_algorithm,mixed,27,24,2,False,124
gc_50_9.txt,genetic_algorithm,random,28,28,15,False,778
gc_50_9.txt,genetic_algorithm,dsatur,28,24,2,False,124
gc_50_9.txt,genetic_algorithm,greedy,28,25,2,False,125
gc_50_9.txt,genetic_algorithm,mixed,28,24,2,False,124
gc_100_9.txt,dsatur,,,43,2,False,
gc_100_9.txt,greedy,,,47,2,False,
gc_100_9.txt,genetic_algorithm,random,43,43,58,False,5843
gc_100_9.txt,genetic_algorithm,dsatur,43,43,2,False,243
gc_100_9.txt,genetic_algorithm,greedy,43,43,13,False,1343
gc_100_9.txt,genetic_algorithm,mixed,43,43,2,False,243
gc_100_9.txt,genetic_algorithm,random,44,44,55,False,5544
gc_100_9.txt,genetic_algorithm,dsatur,44,43,2,False,243
gc_100_9.txt,genetic_algorithm,greedy,44,44,9,False,944
gc_100_9.txt,genetic_algorithm,mixed,44,43,2,False,243
gc_100_9.txt,genetic_algorithm,random,45,45,58,False,5845
gc_100_9.txt,genetic_algorithm,dsatur,45,43,2,False,243
gc_100_9.txt,genetic_algorithm,greedy,45,45,8,False,845
gc_100_9.txt,genetic_algorithm,mixed,45,43,2,False,243
gc_100_9.txt,genetic_algorithm,random,46,46,55,False,5546
gc_100_9.txt,genetic_algorithm,dsatur,46,43,2,False,243
gc_100_9.txt,genetic_algorithm,greedy,46,46,4,False,446
gc_100_9.txt,genetic_algorithm,mixed,46,43,2,False,243
gc_100_9.txt,genetic_algorithm,random,47,47,54,False,5447
gc_100_9.txt,genetic_algorithm,dsatur,47,43,2,False,243
gc_100_9.txt,genetic_algorithm,greedy,47,47,2,False,247
gc_100_9.txt,genetic_algorithm,mixed,47,43,2,False,243
gc_100_9.txt,genetic_algorithm,random,48,47,51,False,5147
gc_100_9.txt,genetic_algorithm,dsatur,48,43,2,False,243
gc_100_9.txt,genetic_algorithm,greedy,48,47,2,False,247
gc_100_9.txt,genetic_algorithm,mixed,48,43,2,False,243
gc_100_9.txt,genetic_algorithm,random,49,49,53,False,5349
gc_100_9.txt,genetic_algorithm,dsatur,49,43,2,False,243
gc_100_9.txt,genetic_algorithm,greedy,49,47,2,False,247
gc_100_9.txt,genetic_algorithm,mixed,49,43,2,False,243
